日期,daily risk free rate
2015-03-12,9.331231550513408e-05
2015-03-13,9.256011347114068e-05
2015-03-16,9.168581714802393e-05
2015-03-17,9.097027679882963e-05
2015-03-18,9.07847359143954e-05
2015-03-19,8.980381161105555e-05
2015-03-20,8.879601116795754e-05
2015-03-23,8.675275506364599e-05
2015-03-24,8.677930059852734e-05
2015-03-25,8.656692913810993e-05
2015-03-26,8.672620927230312e-05
2015-03-27,8.646073725171455e-05
2015-03-30,8.638109064329491e-05
2015-03-31,8.585005424177616e-05
2015-04-01,8.329964980147153e-05
2015-04-02,8.085328865359287e-05
2015-04-03,7.797869119929857e-05
2015-04-07,7.475450090188573e-05
2015-04-08,7.254067635265038e-05
2015-04-09,7.029836153282787e-05
2015-04-10,6.735922677281181e-05
2015-04-13,6.511267741027282e-05
2015-04-14,6.422960160912261e-05
2015-04-15,6.248937930042331e-05
2015-04-16,6.224833854262535e-05
2015-04-17,6.144471658497963e-05
2015-04-20,5.659120375600679e-05
2015-04-21,5.430896768432447e-05
2015-04-22,5.288496618116589e-05
2015-04-23,5.1782873564665266e-05
2015-04-24,5.024996110858382e-05
2015-04-27,4.90391626208897e-05
2015-04-28,4.7773980897503066e-05
2015-04-29,4.723542893425581e-05
2015-04-30,4.5915530290985274e-05
2015-05-04,4.400189831965662e-05
2015-05-05,4.251859062298635e-05
2015-05-06,4.14123309158132e-05
2015-05-07,4.049460683397399e-05
2015-05-08,3.92524919918813e-05
2015-05-11,3.660437321650889e-05
2015-05-12,3.511706511183377e-05
2015-05-13,3.395369950953686e-05
2015-05-14,3.2194187900236315e-05
2015-05-15,2.9376623342791675e-05
2015-05-18,2.8671780473610298e-05
2015-05-19,2.8156588611105704e-05
2015-05-20,2.812947057351245e-05
2015-05-21,2.8156588611105704e-05
2015-05-22,2.826505808473101e-05
2015-05-25,2.8319291215606057e-05
2015-05-26,2.8346407379586935e-05
2015-05-27,2.8346407379586935e-05
2015-05-28,2.8427754265702987e-05
2015-05-29,2.8319291215606057e-05
2015-06-01,2.7993876370313586e-05
2015-06-02,2.8183706380913165e-05
2015-06-03,2.8319291215606057e-05
2015-06-04,2.85362130341138e-05
2015-06-05,2.8644667520838496e-05
2015-06-08,2.891578500818781e-05
2015-06-09,2.9186875743159035e-05
2015-06-10,2.9512149319455006e-05
2015-06-11,2.9701874455945187e-05
2015-06-12,3.0081285427252524e-05
2015-06-15,3.054192831863922e-05
2015-06-16,3.0812858650808295e-05
2015-06-17,3.1354639174585586e-05
2015-06-18,3.273569611850213e-05
2015-06-19,3.4494861069100935e-05
2015-06-23,3.525230821610492e-05
2015-06-24,3.641512416852066e-05
2015-06-25,3.6928769829414065e-05
2015-06-26,3.6928769829414065e-05
2015-06-29,3.646919665523107e-05
2015-06-30,3.422429361377155e-05
2015-07-01,3.1679656212979523e-05
2015-07-02,3.1620072634241936e-05
2015-07-03,3.157132147224573e-05
2015-07-06,3.1787986681797165e-05
2015-07-07,3.203171461962917e-05
2015-07-08,3.232957496135391e-05
2015-07-09,3.262740301313016e-05
2015-07-10,3.29522695243778e-05
2015-07-13,3.333123190851772e-05
2015-07-14,3.371014202646627e-05
2015-07-15,3.389957749044825e-05
2015-07-16,3.438663728450031e-05
2015-07-17,3.490066229661082e-05
2015-07-20,3.511706511183377e-05
2015-07-21,3.5495729027612555e-05
2015-07-22,3.600954659166433e-05
2015-07-23,3.6252900322386594e-05
2015-07-24,3.638808752604028e-05
2015-07-27,3.738826613974844e-05
2015-07-28,3.776661716980989e-05
2015-07-29,3.882032037738625e-05
2015-07-30,3.938753168086784e-05
2015-07-31,3.9981627470986325e-05
2015-08-03,4.046761030784829e-05
2015-08-04,4.0710569493063176e-05
2015-08-05,4.100749043289831e-05
2015-08-06,4.125040188118767e-05
2015-08-07,4.157425040696161e-05
2015-08-10,4.232974854545546e-05
2015-08-11,4.3112009805668094e-05
2015-08-12,4.386708525294658e-05
2015-08-13,4.45949972360804e-05
2015-08-14,4.529576728629081e-05
2015-08-17,4.621188927012021e-05
2015-08-18,4.739700560829618e-05
2015-08-19,4.855469377562649e-05
2015-08-20,4.968498821833478e-05
2015-08-21,5.0142356181615e-05
2015-08-24,5.065344205368305e-05
2015-08-25,5.100307761507494e-05
2015-08-26,4.850085862995179e-05
2015-08-27,4.7773980897503066e-05
2015-08-28,4.8177825601847246e-05
2015-08-31,4.890459651085699e-05
2015-09-01,4.944282140950662e-05
2015-09-02,5.508782601837403e-05
2015-09-06,5.1594667219712065e-05
2015-09-07,5.1675328660572006e-05
2015-09-08,5.148711494795677e-05
